row ID	TP	FP	TN	FN	TPR	TNR	PPV	Accuracy	F1-Score	G-mean	Area Under Curve
ID3 sin preprocesado	15995	3694	32882	6829	0.701	0.899	0.812	0.823	0.752	0.794	0.853
ID3 con preprocesado	15992	3713	32863	6832	0.701	0.898	0.812	0.822	0.752	0.793	0.852
KNN sin preprocesado	16560	5374	31202	6264	0.726	0.853	0.755	0.804	0.74	0.787	0.86
KNN con preprocesado	16556	5407	31169	6268	0.725	0.852	0.754	0.803	0.739	0.786	0.86
