row ID	TP	FP	TN	FN	TPR	TNR	PPV	Accuracy	F1-Score	G-mean	Area Under Curve
Random Forest, Gini 8	12942	1747	34829	9882	0.567	0.952	0.881	0.804	0.69	0.735	0.843
Random Forest, Gini 12	15018	2074	34502	7806	0.658	0.943	0.879	0.834	0.752	0.788	0.887
Random Forest, Gain 8	11109	1356	35220	11715	0.487	0.963	0.891	0.78	0.63	0.685	0.776
Random Forest, Gain 12	11911	1348	35228	10913	0.522	0.963	0.898	0.794	0.66	0.709	0.806
