"row ID"	"TP"	"FP"	"TN"	"FN"	"TPR"	"TNR"	"PPV"	"Accuracy"	"F1-Score"	"G-mean"	"Area Under Curve"
"ID3 sin preprocesado"	15995	3694	32882	6829	0.701	0.899	0.812	0.823	0.752	0.794	0.853
"ID3 con preprocesado"	15273	3453	33123	7551	0.669	0.906	0.816	0.815	0.735	0.778	0.849
