row ID	TP	FP	TN	FN	TPR	TNR	PPV	Accuracy	F1-Score	G-mean	Area Under Curve
KNN 4	16560	5374	31202	6264	0.726	0.853	0.755	0.804	0.74	0.787	0.86
KNN 6	16458	5210	31366	6366	0.721	0.858	0.76	0.805	0.74	0.786	0.869
KNN 8	16388	5086	31490	6436	0.718	0.861	0.763	0.806	0.74	0.786	0.872
KNN 10	16327	5024	31552	6497	0.715	0.863	0.765	0.806	0.739	0.786	0.874
